root	samskrtam_id	samskrtam_root
abhi-nand	737	nand
abhi-vad	15	vad
abhy-as	1	as
adhi-i	279	i
adhi-sthā	226	sthā
anu-gam	701	gam
anu-sthā	226	sthā
apa-nī	364	nī
api-dhā	178	dhā
ar	586	ṛ
as	1	as
ati-kram	708	kram
ava-gam	701	gam
ava-kart	595	kṛt
ava-ruh	495	ruh
ava-tar	668	tṛ
aś	7	aś
bandh	779	bandh
bhikṣ	318	bhikṣ
bhram	714	bhram
bhāṣ	192	bhāṣ
bhī	859	bhī
bhū	553	bhū
car	890	car
cur	435	cur
dah	63	dah
darś	616	dṛś
daṃś	773	daṃś
dhyai	181	dhyā
dhyā	181	dhyā
dhā	178	dhā
dhāv	393	dhāv
div	361	dīv
diś	305	diś
dā	821	dā
dṛś	616	dṛś
gam	701	gam
grah	37	grah
guh	429	guh
gup	424	gup
gā	160	gā
han	806	han
har	658	hṛ
hvā	829	hvā
hā	230	hā
iṣ	283	iṣ
jan	928	jan
ji	298	ji
jīv	355	jīv
kalp	680	kḷp
kamp	906	kamp
kar	661	kṛ
kart	595	kṛt
karṣ	599	kṛṣ
kath	23	kath
khan	808	khan
krudh	412	krudh
kup	410	kup
kṣal	681	kṣal
kṣip	289	kṣip
labh	112	labh
likh	339	likh
lip	340	lip
lubh	502	lubh
lup	501	lup
mad	91	mad
man	783	man
mar	631	mṛ
marg	583	mārg
muc	474	muc
mud	476	mud
mā	195	mā
nam	703	nam
naś	69	naś
ni-sad	139	sad
ni-sev	249	sev
ni-vas	19	vas
nis-pad	78	pad
nī	364	nī
pac	72	pac
par	623	pṛ
pari-dhā	178	dhā
pari-nī	364	nī
parā-ji	298	ji
pat	76	pat
paṭh	75	paṭh
pra-as	1	as
pra-bhū	553	bhū
pra-jan	928	jan
pra-pad	78	pad
pra-sthā	226	sthā
pra-vart	643	vṛt
pra-viś	258	viś
pracch	80	prach
prati-bhāṣ	192	bhāṣ
prati-han	806	han
prati-sidh	267	sidh
prati-īkṣ	344	īkṣ
prī	368	prī
pā	184	pā
pīḍ	366	pīḍ
pūj	550	pūj
rac	100	rac
rakṣ	99	rakṣ
ram	705	ram
ruc	487	ruc
ruh	495	ruh
sad	139	sad
sah	142	sah
sam-nah	71	nah
sam-ā-car	890	car
sarj	584	sarj
saṃ-gam	701	gam
sev	249	sev
sic	266	sic
sidh	267	sidh
smar	657	smṛ
snih	271	snih
sparś	144	spṛś
sthā	226	sthā
stu	521	stu
svap	143	svap
tam	712	tam
tar	668	tṛ
taḍ	53	taḍ
tul	936	tul
tuṣ	448	tuṣ
tyaj	55	tyaj
ud-jan	928	jan
upa-diś	305	diś
upa-nī	364	nī
upa-viś	258	viś
uḍ-ḍī	356	ḍī
vac	13	vac
vah	21	vah
vand	755	vand
vap	16	vap
vardh	644	vṛdh
vart	643	vṛt
varṣ	645	vṛṣ
vas	19	vas
vi-naś	69	naś
vi-ram	705	ram
vi-vad	15	vad
vid	252	vid
viś	258	viś
vyadh	119	vyadh
yaj	11	yaj
yat	96	yat
yudh	483	yudh
ā-cam	900	cam
ā-diś	305	diś
ā-gam	701	gam
ā-har	658	hṛ
ā-hvā	829	hvā
ā-jñā	167	jñā
ā-kram	708	kram
ā-nī	364	nī
ā-rabh	789	rabh
ā-ruh	495	ruh
ā-śri	263	śri
ās	152	ās
īkṣ	344	īkṣ
śam	901	śam
śaṃs	794	śaṃs
śram	902	śram
śru	894	śru
śuc	505	śuc
śuṣ	511	śuṣ
śās	131	śās
