id	word	gender	translation	lesson	tag
1	kfzRa	m	черный	9
2	kfzRa	f	черный	9
3	pApa	m	злой, дурной	9
4	pApa	f	злой, дурной	9
5	praBUta	m	многочисленный	9
6	praBUtA	f	многочисленный	9
7	viDeya	m	послушный	10
8	viDeyA	f	послушный	10
9	SIta	m	прохладный, холодный	11
10	SItA	f	прохладный, холодный	11
11	nIca	m	низкий	12	
12	nIcA	f	низкий	12	
13	muKya	m	отличный, превосходный, первый	12	
14	muKyA	f	отличный, превосходный, первый	12	
15	laGu	m	легкий	12	
16	laGu	f	легкий	12	
17	laGu	n	легкий	12	
18	laGvI	f	легкий	12	
19	kftsna	m	весь, целый	13	
20	kftsnA	f	весь, целый	13	
21	cAru	m	красивый	13	
22	cAru	f	красивый	13	
23	DIra	m	стойкий, мудрый, мужественный	13	
24	DIrA	f	стойкий, мудрый, мужественный	13	
25	Sveta	m	белый	13	
26	SvetA	f	белый	13	
27	apara	m	низкий, другой	14
28	aparA	f	низкий, другой	14
29	para	m	высший, другой, чужой, дальний	14
30	parA	f	высший, другой, чужой, дальний	14
31	vakra	m	кривой, согнутый	14
32	vakrA	f	кривой, согнутый	14
33	sundara	m	красивый	14
34	sundarI	f	красивый	14
35	daridra	m	бедный	15
36	daridrA	f	бедный	15
37	vara	m	лучший, превосходнейший	15
38	varA	f	лучший, превосходнейший	15
39	aDika	m	больше, больший, величайший	16
40	aDikA	f	больше, больший, величайший	16
41	kAmaduGa	m	исполняющий желание	16
42	kAmaduGA	f	исполняющий желание	16
43	duzprayukta	m	плохо устроенный, или употребленный	16
44	duzprayuktA	f	плохо устроенный, или употребленный	16
45	prayukta	m	употребленный или устроенный	16
46	prayuktA	f	употребленный или устроенный	16
47	jyezWa	m	старший	16
48	jyezWA	f	старший	16
49	SrezWa	m	лучший	16
50	SrezWA	f	лучший	16
51	Badra	m	хороший, милый	17
52	BadrA	f	хороший, милый	17
53	Badra	n	счастье	17
54	saMdigDa	m	сомнительный, ненадежный	17
55	saMdigDA	f	сомнительный, ненадежный	17
56	navIna	m	новый	18
57	navInA	f	новый	18
58	sva	m	свой	18
59	svA	f	свой	18
60	kuSala	m	ловкий, опытный, ученый	20
61	kuSalA	f	ловкий, опытный, ученый	20
62	trivft	m	тройной	20
63	trivft	f	тройной	20
64	trivft	n	тройной	20
65	durlaBa	m	трудно находимый, недостижимый	20
66	durlaBA	f	трудно находимый, недостижимый	20
67	Bakta	m	преданный, верный	20
68	BaktA	f	преданный, верный	20
69	svAdu	m	сладкий	19
70	svAdu	f	сладкий	19
71	svAdu	n	сладкий	19
72	ākrānta	m	подвергшийся нападению, подверженный чему	21
73	ākrāntā	f	подвергшийся нападению, подверженный чему	21
74	īśvara	m	богатый	21
75	īśvarā	f	богатый	21
76	nīruj	m	здоровый	21
77	nīruj	f	здоровый	21
78	nīruj	n	здоровый	21
79	pathya	m	полезный, целительный	21
80	pathyā	f	полезный, целительный	21
81	baliṣṭha	m	сильнейший	21
82	baliṣṭhā	f	сильнейший	21
83	ruddha	m	осажденный, покрытый	21
84	ruddhā	f	осажденный, покрытый	21
85	vidviṣṭa	m	ненавистный	21
86	vidviṣṭā	f	ненавистный	21
87	vṛddha	m	старый	21
88	vṛddhā	f	старый	21
89	vyādhita	m	больной	21
90	vyādhitā	f	больной	21
91	sameta	m	снабженный чем	21
92	sametā	f	снабженный чем	21
93	ākṛṣṭa	m	натянутый	22
94	ākṛṣṭā	f	натянутый	22
95	tejasvin	m	мужественный	22
96	tejasvinī	f	мужественный	22
97	prathama	m	первый	22
98	prathamā	f	первый	22
99	mṛta	m	умерший, павший	22
100	mṛtā	f	умерший, павший	22
101	sthita	m	стоящий	22
102	sthitā	f	стоящий	22
103	āyuṣmant	m	долголетний; m величество	24
104	āyuṣmatī	f	долголетний	24
105	kiyant	m	сколь великий	24
106	kiyatī	f	сколь великий	24
107	kṛpaṇa	m	бедный, скупой	24
108	kṛpaṇā	f	бедный, скупой	24
109	tāvant	m	столь великий	24
110	tāvatī	f	столь великий	24
111	bhagavant	m	достопочтенный	24
112	bhagavatī	f	достопочтенный	24
113	dvitīya	m	второй	24
114	dvitīyā	f	второй	24
115	priyakarman	m	милостивый	24
116	priyakarman	f	милостивый	24
117	priyavāc	m	ласковый	24
118	priyavāc	f	ласковый	24
119	balavant	m	сильный, могущественный	24
120	balavatī	f	сильный, могущественный	24
121	bhāsvant	m	сияющий	24
122	bhāsvatī	f	сияющий	24
123	matimant	m	умный	24
124	matimatī	f	умный	24
125	rūkṣa	m	твердый, грубый	24
126	rūkṣā	f	твердый, грубый	24
127	yāvant	m	сколь многий	24
128	yāvatī	f	сколь многий	24
129	vibhu	m	вездесущий	24
130	vibhvī	f	вездесущий	24
131	hata	m	убитый	24
132	hatā	f	убитый	24
